"recdate"|"comptextkind"|"textcat"|"textsubcat"|"text"|"cokey"|"cotextkey"
"08/25/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY001TX"|"F133BY001TX - Depression

Ecological Site Concept
Depressions occur on isolated flats of upland and terraces. Their drainage patterns are poor and result in long periods of water retention. Their vegetation more closely resembles bottomlands as opposed to the surrounding uplands.

Soil Features
The soils consist of very deep, poorly drained, slowly permeable soils. Most of the soils are classified as typic glossaqualfs, but other classifications exist. Soils correlated to this ecological site include: Adaton, Ashford, Catuna, Derly, Goreen, Guyton, Leagueville, Leggett, Merryville, Mollville, Percilla, and Talco. 

Reference Community
Species that can stand excess wetness are found on these sites. Thickets of green ash and mayhaw (Crataegus opaca) are common, oftentimes limiting the growth of the understory grass and forb layer. Other species in the shrub layer include: carolina ash (Fraxinus carolina), common persimmon (Diospyros virginiana), and bottomland post oak (Quercus similis). Ground layer species include: inland sea oats (Chasmanthium latifolium), switchcane (Arundinaria gigantea), sedges (Carex sp.), and rushes (Juncus sp.).

Reference Plants List
No reference plants list is available.

MLRA - 133B
Legacy Ecosite ID - F133BY001TX"|24232337|25200384
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"The Besner component makes up 35 percent of the map unit. Slopes are 0 to 3 percent. This component is on tread stream terraces on coastal plains. The parent material consists of loamy alluvium. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is well drained.  Water movement in the most restrictive layer is moderately high.  Available water to a depth of 60 inches (or restricted depth) is moderate.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. A seasonal zone of water saturation is at 38 inches during January, February, March, April, May, October, November, December. Organic matter content in the surface horizon is about 1 percent. This component is in the F133BY013TX Terrace ecological site. Nonirrigated land capability classification is 2e. Irrigated land capability classification is 2e. This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|24232338|25200385
"08/24/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY013TX"|"F133BY013TX - Terrace

Ecological Site Concept
The Terrace ecological site has very deep soils on terrace landforms. These sites are located on a higher landform than bottomlands and are not as wet. The sites are situated on a lower landform than the uplands and are not as dry. The sites do not flood or pond. This unique position between the drier uplands and wetter bottomlands creates their plant community.

Soil Features
Alazan, Attoyac, and Bernaldo are representative soils of the Terraces. The Terraces can have a wide range of textures and depths. The grouping factor is, all are located on the terrace landform position. Besides the previously listed soils, these are correlated as well: Addielou, Annona, Austonio, Bearhead, Besner, Bistineau, Cadeville, Cart, Chireno, Eastham, Elysian, Erno, Forbing, Freestone, Gallime, Garner, Glenmora, Hallsbluff, Keiffer, Landman, Latch, Mckamie, Moten, Multey, Raino, Shatta, Spurger, Timpson, Vesey, Waskom, and Woden.

Reference Community
Terrace sites are highly variable in their overstory composition. While white oak and loblolly pine are the dominant species, the overstory frequently has southern red oak, (Quercus falcata), sweetgum (Liquidambar styraciflua), and shortleaf pine (Pinus echinata) intermingled. Longleaf pine (Pinus palustris) may occur in the southern portions of the region. White oaks and/or loblolly pine may make up 75 percent of the overstory at any given time. The other hardwood and pine species make up the rest of the overstory. Shrubs are an important component in the ecological site. American beautyberry, yaupon, and possumhaw are dominant. Sassafras (Sassafras albidum), parsley hawthorn (Crataegus marshalii), and farkleberry (Vaccinium arboreum) are common, but seen in lesser densities. The shrub-layer height and densities fluctuate with time since the last fire. Fire prunes their growth back and allows the understory grasses and forbs to stay diverse and abundant. The shrub layer is the main driver between communities 1.1 and 1.2. As the shrubs begin to grow above 4.5 feet and become more dense, the community moves along the pathway from 1.1 to 1.2. The infrequency of fire causes an accumulation of litter throughout the sites and bare ground is uncommon. The most dominant gramanoids are longleaf woodoats, slender woodoats (Chasmanthium laxum), and cypress swamp sedge (Carex joorii). The micro-lows are often colonized by broomsedge bluestem (Andropogon virginicus). Partridgeberry and Carolina elephanstfoot (Elephantopus carolinianus) are highly associated to the site.

Reference Plants List
white oak, loblolly pine, southern red oak, sweetgum, shortleaf pine, white ash, longleaf pine, blackgum, longleaf woodoats, giant cane, broomsedge bluestem, variable panicgrass, slender woodoats, cypress swamp sedge, eastern poison ivy, partridgeberry, St. Andrew's cross, Carolina elephantsfoot, Missouri violet, slender yellow woodsorrel, ebony spleenwort, resurrection fern, American beautyberry, possumhaw, yaupon, sassafras, muscadine, parsley hawthorn, farkleberry, wax myrtle, American hornbeam, southern arrowwood, sweetgum, white oak, loblolly pine, common persimmon, American holly, blackgum, bitternut hickory, greenbrier, Virginia creeper, Alabama supplejack, crossvine, climbing dogbane

MLRA - 133B
Legacy Ecosite ID - F133BY013TX"|24232338|25200386
"08/24/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY008TX"|"F133BY008TX - Northern Deep Sandy Upland

Ecological Site Concept
The Northern Deep Sandy Upland site has deep, sandy-surfaced soils that gradually grade into sandy loams and sandy clay loams. The upland landscape coupled with properties associated with the depth of the sand form its unique plant community.

Soil Features
The soils of this site are deep and characterized by sands through the A and E profiles greater than 39.4 inches (100 centimeters). The Bt layer is generally a sandy clay loam continuing through the lower profiles of the soil. The Darco series is a representative soil and consists of very deep, somewhat excessively drained, moderately permeable soils that formed in sandy and loamy residuum from Southern Coastal Plain marine deposits of the Carizzo Sand, Queen City Sand, and Sparta Sand Formations. The series is classified as a loamy, siliceous, semiactive, thermic Grossarenic Paleudult. Other soils are included within the ecological site and all are defined by deep upper horizons of sands and presence of an argillic horizon deep in the soil profile. Besides the Darco series, Betis, Flo, Grapeland, and Pickton are correlated to this site.

Reference Community
Shortleaf pine and bluejack oak comprise the majority of the overstory. The occurrence of shortleaf pine in the overstory at any given site is between 50 and 90 percent. Bluejacks have established on the sites at 10 to 30 percent of the overall canopy structure. Other overstory trees are sometimes found colonizing the areas in lesser amounts (less than 10 percent), including hickory (Carya sp.) and upland oaks (Quercus sp.). Oak species typically only achieve half the height of pines leading to a two-layer canopy. Sassafras (Sassafras albidum), winged sumac (Rhus copallinum) and bluejack saplings are extremely common in the mid-story layer. Both communities are characterized by a diverse ground layer with large patches of bare ground and litter. Little bluestem and needleleaf rosette grass (Dichanthelium aciculare) are the most abundant grasses seen in the two communities. Indicator plants include Texas bullnettle (Cnidosolus texanus) Gulf Coast yucca (Yucca louisianesis), Pickering's dawnflower (Stylisma pickereringii), and nettleleaf noseburn (Tragia urticioflia).

Reference Plants List
shortleaf pine, bluejack oak, post oak, blackjack oak, black hickory, southern red oak, little bluestem, needleleaf rosette grass, variable panicgrass, splitbeard bluestem, eastern poison ivy, Texas bullnettle, Gulf Coast yucca, Louisiana nerveray, farkleberry, Nuttall's wild indigo, whitemouth dayflower, nettleleaf noseburn, soft greeneyes, healing croton, hoary ticktrefoil, sessileleaf ticktrefoil, St. Andrew's cross, blackeyed Susan, sidebeak pencilflower, butterfly milkweed, western brackenfern, American beautyberry, yaupon, winged sumac, sassafras, bluejack oak, post oak, black hickory, blackjack oak, shortleaf pine, muscadine, summer grape, cat greenbrier

MLRA - 133B
Legacy Ecosite ID - F133BY008TX"|24232339|25200387
"07/25/2002 00:00:00"|"Nontechnical description"|"WSG"|"F133BY008TX"|"3s3 - Sandy texture may cause severe equipment limitations, seedling mortality, and plant competition. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pine, and the site index for loblolly pine is 80. The yield from an unmanaged stand of loblolly pine over a 50-year period is approximately 230 board feet (Doyle rule) per acre per year. Native species important to wildlife include post oak, sandjack oak, and American beautyberry. High value grasses and forbs used by livestock include pinehill bluestem, indiangrass, and longleaf uniola. Stocking rates depend on canopy density and range from 8-40 acres per animal unit."|24232339|25200388
"10/15/2014 00:00:00"|"Nontechnical description"|"WDS"|"F133BY008TX"|"Soils in this group are well drained and sandy with moderately high potential for productivity. Equipment limitations and seedling mortality are moderate. These soils are best suited for southern pines. Site index for loblolly and slash pine is 80; shortleaf pine is 70."|24232339|25200389
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"The Betis component makes up 90 percent of the map unit. Slopes are 0 to 8 percent. This component is on interfluves on coastal plains. The parent material consists of sandy marine deposits. Depth to a root restrictive layer is greater than 60 inches. The natural drainage class is somewhat excessively drained.  Water movement in the most restrictive layer is high. Available water to a depth of 60 inches (or restricted depth) is low.  Shrink-swell potential is low. This soil is not flooded. It is not ponded. There is no zone of water saturation within a depth of 72 inches. Organic matter content in the surface horizon is about 1 percent. This component is in the F133BY008TX Northern Deep Sandy Upland ecological site. Nonirrigated land capability classification is 4e. Irrigated land capability classification is 4e. This soil does not meet hydric criteria.  There are no saline horizons within 30 inches of the soil surface. "|24232339|25200390
"07/25/2002 00:00:00"|"Nontechnical description"|"PHG"|"F133BY008TX"|"9B - DEEP SANDY UPLAND - Deep and very deep, sandy uplands with sandy surfaces greater than 40 inches; low natural fertility; low water holding capacity with good plant-soil-moisture relationship; low to medium production potential."|24232339|25200391
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Ruston soil is a minor component."|24232340|25200392
"08/25/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY005TX"|"F133BY005TX - Loamy Upland

Ecological Site Concept
The Loamy Uplands have very deep loamy soils greater than 80 inches. The ecological sites produce high amounts of plant biomass because of the loamy growing medium with nonrestrictive soil textures through the soil profiles with adequate water-holding capacity. The sites generally have the most robust plant communities of any adjacent sites.

Soil Features
The soils of this site are deep and characterized by loams throughout the soil profile, measured to 80 inches. The soils belong to the alfisol and ultisol orders and have well developed horizons. The Bowie series is a representative soil and consists of very deep, well drained, moderately slowly permeable soils that formed in loamy residuum from Southern Coastal Plain marine deposits. The series is classified as a fine-loamy, siliceous, semiactive, thermic Plinthic Paleudult. Not all soils within the ecological site will have the same taxonomic classification, but produce similar vegetative communities. Other soils are included within the ecological site and all are defined by deep fine-loamy and fine-silty control sections. The soils included are well drained or moderately well drained. Soils that are moderately well drained have a general increase in clay in the lower horizons. Besides the Bowie series, the Alto, Beauregard, Blevins, Diboll, Elrose, Eylau, Fuller, Gunter, Keatchie, Keithville, Kullit, Latex, Oakwood, Olla, Penning, Rigolette, Rogan, Ruston, Saffell, Sailes, Sawlit, Sawtown, Sawyer, Scottsville, Smithdale, Ulto, and Warnock are correlated to the Loamy Uplands.

Reference Community
The Shortleaf Pine/Red Oak Woodland (1.1) is the first community in State 1. Litter accumulation is moderate and understory vegetation is naturally dense. The overstory canopy is dominated by shortleaf pine and red oaks, and are usually in higher densities (total basal area) than the adjacently surrounding upland sites. The overstory canopy can also be interspersed with post oak (Quercus stellata), blackjack oak (Quercus marilandica), white oak (Quercus alba), and black hickory (Carya texana). The sites can be dominated by shortleaf pines, 100 percent canopy cover, but range as low as 60 percent with the oak and hickories comprising the rest of the overstory. Given time to mature, the sites produce tall, straight overstory pines which can reach heights above 100 feet. This community is characterized by a dense ground layer with relatively no bare ground (less than 5 percent). Needleleaf rosette grass (Dichanthelium aciculare) is a highly abundant grass throughout the herbaceous understory. Other grasses seen, though not as dominant are longleaf woodoats (Chasmanthium sessiliflorum), variable panicgrass (Dichanthelium commutatum), and little bluestem (Schizachyrium scoparium). Forbs occupying the site include flowering spurge (Euphorbia corollata), hairy small-leaf ticktrefoil (Desmodium ciliare), and downy milkpea (Galactia volubilis). The shrub layer of the community is very conspicuous, containing numerous American beautyberry (Callicarpa americana) and yaupon (Ilex vomitoria).

Reference Plants List
shortleaf pine, southern red oak, blackjack oak, post oak, black hickory, needleleaf rosette grass, variable panicgrass, little bluestem, longleaf woodoats, eastern poison ivy, dogfennel, flowering spurge, Nuttall's wild indigo, St. Andrew's cross, hairy small-leaf ticktrefoil, slender yellow woodsorrel, whitemouth dayflower, downy milkpea, nettleleaf noseburn, western brackenfern, American beautyberry, yaupon, sawtooth blackberry, parsley hawthorn, farkleberry, rusty blackhaw, summer grape, Virginia creeper, saw greenbrier, cat greenbrier, laurel greenbrier

MLRA - 133B
Legacy Ecosite ID - F133BY005TX"|24232340|25200393
"08/24/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY006TX"|"F133BY006TX - Northern Sandy Loam Upland

Ecological Site Concept
The Northern Sandy Loam Uplands site has a sandy or loamy surface soil with a gradual increase in clay through the subsurface horizons. The gradual increase in clay content aids in moisture retention, allowing the formation of a well-developed vegetative community. The ecological site has more biomass development than the deep sandy uplands, sometimes located adjacently upslope, and a more open canopy than the adjacent clayey uplands, located downslope.

Soil Features
The soils of this site are deep and characterized by sands through the A and E profiles. The Bt layer is generally a sandy clay loam occurring between 20 and 40 inches continuing through the lower profiles of the soil. The Briley series is a representative soil and consists of very deep, well drained, moderately permeable soils that formed in sandy and loamy Coastal Plain sediments. The series is classified as a loamy, siliceous, semiactive, thermic Arenic Paleudult. Other soils are included within the ecological site and all are defined by their upper horizons of sands and presence of an argillic between 20 and 40 inches. Besides the Briley series, Darbonne, Larue, Lilbert, Rentzel, Rosalie, Tenaha, Trep, and Wolfpen are correlated to the ecological site.

Reference Community
Shortleaf pine trees comprise the majority of the overstory. The occurrence in the overstory on any given site is between 75 to 100 percent. Blackjack and post oaks have established on some sites, comprising up to 20 percent of the overall canopy structure. Farkleberry, winged sumac (Rhus copallinum), yaupon (Ilex vomitoria), sassafras (Sassafras albidium), and oak saplings are common in the mid-story layer, increasing in abundance with time since last fire. Both communities are characterized by a diverse ground layer with sometimes large accumulations of plant litter, 15 to 45 percent. Little bluestem and needleleaf rosette grass (Dichanthelium aciculare) are the most abundant grasses seen in the two communities, at times seemingly dominating the entire area. Indicator forbs include Virginia tephrosia (Tephrosia virginiana), St. Andrew's cross (Hypericum hypericoides), Nuttall's wild indigo (Baptistia nuttalliana), and Atlanta pigeonwings (Clitoria mariana). 

Reference Plants List
shortleaf pine, blackjack oak, post oak, southern red oak, black hickory, bluejack oak, little bluestem, needleleaf rosette grass, variable panicgrass, splitbeard bluestem, switchgrass, eastern poison ivy, Texas bullnettle, whitemouth dayflower, shiny goldenrod, Louisiana nerveray, St. Andrew's cross, Nuttall's wild indigo, Atlantic pigeonwings, New Jersey tea, nettleleaf noseburn, Gulf Coast yucca, butterfly milkweed, spotted beebalm, sidebeak pencilflower, sessileleaf ticktrefoil, western brackenfern, American beautyberry, yaupon, sassafras, winged sumac, farkleberry, smallflower pawpaw, blackjack oak, black hickory, post oak, eastern redcedar, shortleaf pine, bluejack oak, summer grape, Virginia creeper, cat greenbrier, muscadine

MLRA - 133B
Legacy Ecosite ID - F133BY006TX"|24232341|25200394
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Briley soil is a minor component."|24232341|25200395
"08/24/2023 00:00:00"|"Nontechnical description"|"ES"|"F133BY013TX"|"F133BY013TX - Terrace

Ecological Site Concept
The Terrace ecological site has very deep soils on terrace landforms. These sites are located on a higher landform than bottomlands and are not as wet. The sites are situated on a lower landform than the uplands and are not as dry. The sites do not flood or pond. This unique position between the drier uplands and wetter bottomlands creates their plant community.

Soil Features
Alazan, Attoyac, and Bernaldo are representative soils of the Terraces. The Terraces can have a wide range of textures and depths. The grouping factor is, all are located on the terrace landform position. Besides the previously listed soils, these are correlated as well: Addielou, Annona, Austonio, Bearhead, Besner, Bistineau, Cadeville, Cart, Chireno, Eastham, Elysian, Erno, Forbing, Freestone, Gallime, Garner, Glenmora, Hallsbluff, Keiffer, Landman, Latch, Mckamie, Moten, Multey, Raino, Shatta, Spurger, Timpson, Vesey, Waskom, and Woden.

Reference Community
Terrace sites are highly variable in their overstory composition. While white oak and loblolly pine are the dominant species, the overstory frequently has southern red oak, (Quercus falcata), sweetgum (Liquidambar styraciflua), and shortleaf pine (Pinus echinata) intermingled. Longleaf pine (Pinus palustris) may occur in the southern portions of the region. White oaks and/or loblolly pine may make up 75 percent of the overstory at any given time. The other hardwood and pine species make up the rest of the overstory. Shrubs are an important component in the ecological site. American beautyberry, yaupon, and possumhaw are dominant. Sassafras (Sassafras albidum), parsley hawthorn (Crataegus marshalii), and farkleberry (Vaccinium arboreum) are common, but seen in lesser densities. The shrub-layer height and densities fluctuate with time since the last fire. Fire prunes their growth back and allows the understory grasses and forbs to stay diverse and abundant. The shrub layer is the main driver between communities 1.1 and 1.2. As the shrubs begin to grow above 4.5 feet and become more dense, the community moves along the pathway from 1.1 to 1.2. The infrequency of fire causes an accumulation of litter throughout the sites and bare ground is uncommon. The most dominant gramanoids are longleaf woodoats, slender woodoats (Chasmanthium laxum), and cypress swamp sedge (Carex joorii). The micro-lows are often colonized by broomsedge bluestem (Andropogon virginicus). Partridgeberry and Carolina elephanstfoot (Elephantopus carolinianus) are highly associated to the site.

Reference Plants List
white oak, loblolly pine, southern red oak, sweetgum, shortleaf pine, white ash, longleaf pine, blackgum, longleaf woodoats, giant cane, broomsedge bluestem, variable panicgrass, slender woodoats, cypress swamp sedge, eastern poison ivy, partridgeberry, St. Andrew's cross, Carolina elephantsfoot, Missouri violet, slender yellow woodsorrel, ebony spleenwort, resurrection fern, American beautyberry, possumhaw, yaupon, sassafras, muscadine, parsley hawthorn, farkleberry, wax myrtle, American hornbeam, southern arrowwood, sweetgum, white oak, loblolly pine, common persimmon, American holly, blackgum, bitternut hickory, greenbrier, Virginia creeper, Alabama supplejack, crossvine, climbing dogbane

MLRA - 133B
Legacy Ecosite ID - F133BY013TX"|24231846|25199309
"08/15/2023 00:00:00"|"Nontechnical description"|"GENSOIL"|"generated"|"Generated brief soil descriptions are created for major soil components.  The Attoyac soil is a minor component."|24231846|25199310
"06/16/2013 00:00:00"|"Nontechnical description"|"WSG"|"F133BY011TX"|"2s2 - Sandy texture may cause moderate equipment limitations and seedling mortality. Important commercial tree species include loblolly pine, shortleaf pine, and longleaf pine. These soils are suited for pines, and the site index for loblolly pine is 90. The yield from an unmanaged stand over a 50-year period is approximately 330 board feet (Doyle rule) for loblolly pine, per acre per year. Native species important to wildlife include red oak, American beautyberry, tickclover, flowering dogwood, yaupon, and sparkleberry. High value grasses and forbs used by livestock include pinehill bluestem, longleaf uniola, big bluestem, and little bluestem. Stocking rates depend on canopy density and range from 8-40 acres per animal unit."|24231847|25199311
