"monthseq"|"month"|"flodfreqcl"|"floddurcl"|"pondfreqcl"|"ponddurcl"|"ponddep_l"|"ponddep_r"|"ponddep_h"|"dlyavgprecip_l"|"dlyavgprecip_r"|"dlyavgprecip_h"|"dlyavgpotet_l"|"dlyavgpotet_r"|"dlyavgpotet_h"|"cokey"|"comonthkey"
11|"November"|"None"|""|"None"|""||||||||||24232339|253293775
12|"December"|"None"|""|"None"|""||||||||||24232339|253293768
1|"January"|"None"|""|"None"|""||||||||||24232340|253293780
2|"February"|"None"|""|"None"|""||||||||||24232340|253293784
4|"April"|"None"|""|"None"|""||||||||||24232340|253293782
3|"March"|"None"|""|"None"|""||||||||||24232340|253293781
5|"May"|"None"|""|"None"|""||||||||||24232340|253293787
6|"June"|"None"|""|"None"|""||||||||||24232340|253293785
7|"July"|"None"|""|"None"|""||||||||||24232340|253293788
8|"August"|"None"|""|"None"|""||||||||||24232340|253293783
9|"September"|"None"|""|"None"|""||||||||||24232340|253293778
10|"October"|"None"|""|"None"|""||||||||||24232340|253293789
11|"November"|"None"|""|"None"|""||||||||||24232340|253293786
12|"December"|"None"|""|"None"|""||||||||||24232340|253293779
1|"January"|"None"|""|"None"|""||||||||||24232341|253293796
2|"February"|"None"|""|"None"|""||||||||||24232341|253293797
4|"April"|"None"|""|"None"|""||||||||||24232341|253293793
3|"March"|"None"|""|"None"|""||||||||||24232341|253293792
5|"May"|"None"|""|"None"|""||||||||||24232341|253293800
6|"June"|"None"|""|"None"|""||||||||||24232341|253293801
7|"July"|"None"|""|"None"|""||||||||||24232341|253293794
8|"August"|"None"|""|"None"|""||||||||||24232341|253293790
9|"September"|"None"|""|"None"|""||||||||||24232341|253293798
10|"October"|"None"|""|"None"|""||||||||||24232341|253293795
11|"November"|"None"|""|"None"|""||||||||||24232341|253293791
12|"December"|"None"|""|"None"|""||||||||||24232341|253293799
1|"January"|"None"|""|"None"|""||||||||||24231846|253287866
2|"February"|"None"|""|"None"|""||||||||||24231846|253287865
3|"March"|"None"|""|"None"|""||||||||||24231846|253287869
4|"April"|"None"|""|"None"|""||||||||||24231846|253287862
5|"May"|"None"|""|"None"|""||||||||||24231846|253287870
6|"June"|"None"|""|"None"|""||||||||||24231846|253287868
7|"July"|"None"|""|"None"|""||||||||||24231846|253287867
8|"August"|"None"|""|"None"|""||||||||||24231846|253287863
9|"September"|"None"|""|"None"|""||||||||||24231846|253287873
10|"October"|"None"|""|"None"|""||||||||||24231846|253287872
11|"November"|"None"|""|"None"|""||||||||||24231846|253287871
12|"December"|"None"|""|"None"|""||||||||||24231846|253287864
1|"January"|"None"|""|"None"|""||||||||||24231847|253287878
2|"February"|"None"|""|"None"|""||||||||||24231847|253287877
3|"March"|"None"|""|"None"|""||||||||||24231847|253287881
4|"April"|"None"|""|"None"|""||||||||||24231847|253287874
5|"May"|"None"|""|"None"|""||||||||||24231847|253287882
6|"June"|"None"|""|"None"|""||||||||||24231847|253287880
7|"July"|"None"|""|"None"|""||||||||||24231847|253287879
8|"August"|"None"|""|"None"|""||||||||||24231847|253287875
9|"September"|"None"|""|"None"|""||||||||||24231847|253287885
10|"October"|"None"|""|"None"|""||||||||||24231847|253287884
11|"November"|"None"|""|"None"|""||||||||||24231847|253287883
12|"December"|"None"|""|"None"|""||||||||||24231847|253287876
1|"January"|"None"|""|"None"|""||||||||||24232062|253290442
2|"February"|"None"|""|"None"|""||||||||||24232062|253290443
3|"March"|"None"|""|"None"|""||||||||||24232062|253290444
4|"April"|"None"|""|"None"|""||||||||||24232062|253290445
5|"May"|"None"|""|"None"|""||||||||||24232062|253290446
6|"June"|"None"|""|"None"|""||||||||||24232062|253290447
7|"July"|"None"|""|"None"|""||||||||||24232062|253290448
8|"August"|"None"|""|"None"|""||||||||||24232062|253290449
9|"September"|"None"|""|"None"|""||||||||||24232062|253290450
10|"October"|"None"|""|"None"|""||||||||||24232062|253290451
11|"November"|"None"|""|"None"|""||||||||||24232062|253290452
12|"December"|"None"|""|"None"|""||||||||||24232062|253290453
1|"January"|"None"|""|"None"|""||||||||||24232063|253290454
2|"February"|"None"|""|"None"|""||||||||||24232063|253290455
3|"March"|"None"|""|"None"|""||||||||||24232063|253290456
4|"April"|"None"|""|"None"|""||||||||||24232063|253290457
5|"May"|"None"|""|"None"|""||||||||||24232063|253290458
6|"June"|"None"|""|"None"|""||||||||||24232063|253290459
7|"July"|"None"|""|"None"|""||||||||||24232063|253290460
8|"August"|"None"|""|"None"|""||||||||||24232063|253290461
9|"September"|"None"|""|"None"|""||||||||||24232063|253290462
10|"October"|"None"|""|"None"|""||||||||||24232063|253290463
11|"November"|"None"|""|"None"|""||||||||||24232063|253290464
12|"December"|"None"|""|"None"|""||||||||||24232063|253290465
1|"January"|"None"|""|"None"|""||||||||||24232064|253290472
2|"February"|"None"|""|"None"|""||||||||||24232064|253290473
3|"March"|"None"|""|"None"|""||||||||||24232064|253290474
4|"April"|"None"|""|"None"|""||||||||||24232064|253290475
5|"May"|"None"|""|"None"|""||||||||||24232064|253290476
6|"June"|"None"|""|"None"|""||||||||||24232064|253290477
7|"July"|"None"|""|"None"|""||||||||||24232064|253290466
8|"August"|"None"|""|"None"|""||||||||||24232064|253290467
9|"September"|"None"|""|"None"|""||||||||||24232064|253290468
10|"October"|"None"|""|"None"|""||||||||||24232064|253290469
11|"November"|"None"|""|"None"|""||||||||||24232064|253290470
12|"December"|"None"|""|"None"|""||||||||||24232064|253290471
1|"January"|"None"|""|"None"|""||||||||||24232282|253293085
2|"February"|"None"|""|"None"|""||||||||||24232282|253293083
4|"April"|"None"|""|"None"|""||||||||||24232282|253293082
3|"March"|"None"|""|"None"|""||||||||||24232282|253293092
5|"May"|"None"|""|"None"|""||||||||||24232282|253293093
6|"June"|"None"|""|"None"|""||||||||||24232282|253293091
7|"July"|"None"|""|"None"|""||||||||||24232282|253293088
8|"August"|"None"|""|"None"|""||||||||||24232282|253293087
9|"September"|"None"|""|"None"|""||||||||||24232282|253293086
10|"October"|"None"|""|"None"|""||||||||||24232282|253293090
11|"November"|"None"|""|"None"|""||||||||||24232282|253293089
12|"December"|"None"|""|"None"|""||||||||||24232282|253293084
1|"January"|"None"|""|"None"|""||||||||||24232283|253293097
2|"February"|"None"|""|"None"|""||||||||||24232283|253293104
4|"April"|"None"|""|"None"|""||||||||||24232283|253293094
3|"March"|"None"|""|"None"|""||||||||||24232283|253293105
5|"May"|"None"|""|"None"|""||||||||||24232283|253293103
6|"June"|"None"|""|"None"|""||||||||||24232283|253293096
7|"July"|"None"|""|"None"|""||||||||||24232283|253293095
8|"August"|"None"|""|"None"|""||||||||||24232283|253293099
9|"September"|"None"|""|"None"|""||||||||||24232283|253293098
10|"October"|"None"|""|"None"|""||||||||||24232283|253293100
11|"November"|"None"|""|"None"|""||||||||||24232283|253293102
12|"December"|"None"|""|"None"|""||||||||||24232283|253293101
1|"January"|"None"|""|"None"|""||||||||||24232284|253293112
2|"February"|"None"|""|"None"|""||||||||||24232284|253293107
4|"April"|"None"|""|"None"|""||||||||||24232284|253293113
3|"March"|"None"|""|"None"|""||||||||||24232284|253293114
5|"May"|"None"|""|"None"|""||||||||||24232284|253293111
6|"June"|"None"|""|"None"|""||||||||||24232284|253293116
7|"July"|"None"|""|"None"|""||||||||||24232284|253293117
8|"August"|"None"|""|"None"|""||||||||||24232284|253293115
9|"September"|"None"|""|"None"|""||||||||||24232284|253293106
10|"October"|"None"|""|"None"|""||||||||||24232284|253293108
11|"November"|"None"|""|"None"|""||||||||||24232284|253293109
12|"December"|"None"|""|"None"|""||||||||||24232284|253293110
1|"January"|"None"|""|"None"|""||||||||||24232285|253293126
2|"February"|"None"|""|"None"|""||||||||||24232285|253293127
4|"April"|"None"|""|"None"|""||||||||||24232285|253293118
3|"March"|"None"|""|"None"|""||||||||||24232285|253293121
5|"May"|"None"|""|"None"|""||||||||||24232285|253293119
6|"June"|"None"|""|"None"|""||||||||||24232285|253293122
7|"July"|"None"|""|"None"|""||||||||||24232285|253293125
8|"August"|"None"|""|"None"|""||||||||||24232285|253293120
9|"September"|"None"|""|"None"|""||||||||||24232285|253293124
10|"October"|"None"|""|"None"|""||||||||||24232285|253293128
11|"November"|"None"|""|"None"|""||||||||||24232285|253293129
12|"December"|"None"|""|"None"|""||||||||||24232285|253293123
1|"January"|"None"|""|"None"|""||||||||||24232352|253293928
2|"February"|"None"|""|"None"|""||||||||||24232352|253293927
4|"April"|"None"|""|"None"|""||||||||||24232352|253293922
3|"March"|"None"|""|"None"|""||||||||||24232352|253293924
5|"May"|"None"|""|"None"|""||||||||||24232352|253293932
6|"June"|"None"|""|"None"|""||||||||||24232352|253293930
7|"July"|"None"|""|"None"|""||||||||||24232352|253293929
8|"August"|"None"|""|"None"|""||||||||||24232352|253293931
9|"September"|"None"|""|"None"|""||||||||||24232352|253293926
10|"October"|"None"|""|"None"|""||||||||||24232352|253293933
11|"November"|"None"|""|"None"|""||||||||||24232352|253293925
12|"December"|"None"|""|"None"|""||||||||||24232352|253293923
1|"January"|"None"|""|"None"|""||||||||||24232353|253293936
2|"February"|"None"|""|"None"|""||||||||||24232353|253293942
4|"April"|"None"|""|"None"|""||||||||||24232353|253293943
3|"March"|"None"|""|"None"|""||||||||||24232353|253293945
5|"May"|"None"|""|"None"|""||||||||||24232353|253293940
6|"June"|"None"|""|"None"|""||||||||||24232353|253293941
7|"July"|"None"|""|"None"|""||||||||||24232353|253293939
8|"August"|"None"|""|"None"|""||||||||||24232353|253293934
9|"September"|"None"|""|"None"|""||||||||||24232353|253293937
10|"October"|"None"|""|"None"|""||||||||||24232353|253293938
11|"November"|"None"|""|"None"|""||||||||||24232353|253293944
12|"December"|"None"|""|"None"|""||||||||||24232353|253293935
1|"January"|"None"|""|"None"|""||||||||||24232410|253294626
2|"February"|"None"|""|"None"|""||||||||||24232410|253294622
4|"April"|"None"|""|"None"|""||||||||||24232410|253294620
3|"March"|"None"|""|"None"|""||||||||||24232410|253294627
5|"May"|"None"|""|"None"|""||||||||||24232410|253294618
6|"June"|"None"|""|"None"|""||||||||||24232410|253294623
7|"July"|"None"|""|"None"|""||||||||||24232410|253294628
8|"August"|"None"|""|"None"|""||||||||||24232410|253294624
9|"September"|"None"|""|"None"|""||||||||||24232410|253294619
10|"October"|"None"|""|"None"|""||||||||||24232410|253294625
11|"November"|"None"|""|"None"|""||||||||||24232410|253294621
12|"December"|"None"|""|"None"|""||||||||||24232410|253294629
1|"January"|"None"|""|"None"|""||||||||||24232411|253294632
2|"February"|"None"|""|"None"|""||||||||||24232411|253294640
4|"April"|"None"|""|"None"|""||||||||||24232411|253294630
3|"March"|"None"|""|"None"|""||||||||||24232411|253294635
5|"May"|"None"|""|"None"|""||||||||||24232411|253294637
6|"June"|"None"|""|"None"|""||||||||||24232411|253294641
7|"July"|"None"|""|"None"|""||||||||||24232411|253294636
8|"August"|"None"|""|"None"|""||||||||||24232411|253294634
9|"September"|"None"|""|"None"|""||||||||||24232411|253294638
10|"October"|"None"|""|"None"|""||||||||||24232411|253294633
11|"November"|"None"|""|"None"|""||||||||||24232411|253294631
12|"December"|"None"|""|"None"|""||||||||||24232411|253294639
1|"January"|"None"|""|"None"|""||||||||||24232412|253294646
2|"February"|"None"|""|"None"|""||||||||||24232412|253294651
4|"April"|"None"|""|"None"|""||||||||||24232412|253294652
3|"March"|"None"|""|"None"|""||||||||||24232412|253294647
5|"May"|"None"|""|"None"|""||||||||||24232412|253294653
6|"June"|"None"|""|"None"|""||||||||||24232412|253294644
7|"July"|"None"|""|"None"|""||||||||||24232412|253294642
8|"August"|"None"|""|"None"|""||||||||||24232412|253294645
9|"September"|"None"|""|"None"|""||||||||||24232412|253294650
10|"October"|"None"|""|"None"|""||||||||||24232412|253294648
11|"November"|"None"|""|"None"|""||||||||||24232412|253294643
12|"December"|"None"|""|"None"|""||||||||||24232412|253294649
1|"January"|"None"|""|"None"|""||||||||||24232413|253294657
2|"February"|"None"|""|"None"|""||||||||||24232413|253294654
4|"April"|"None"|""|"None"|""||||||||||24232413|253294664
3|"March"|"None"|""|"None"|""||||||||||24232413|253294659
5|"May"|"None"|""|"None"|""||||||||||24232413|253294663
6|"June"|"None"|""|"None"|""||||||||||24232413|253294655
7|"July"|"None"|""|"None"|""||||||||||24232413|253294661
8|"August"|"None"|""|"None"|""||||||||||24232413|253294656
9|"September"|"None"|""|"None"|""||||||||||24232413|253294660
10|"October"|"None"|""|"None"|""||||||||||24232413|253294658
11|"November"|"None"|""|"None"|""||||||||||24232413|253294665
12|"December"|"None"|""|"None"|""||||||||||24232413|253294662
1|"January"|"None"|""|"None"|""||||||||||24232247|253292671
2|"February"|"None"|""|"None"|""||||||||||24232247|253292666
3|"March"|"None"|""|"None"|""||||||||||24232247|253292672
4|"April"|"None"|""|"None"|""||||||||||24232247|253292667
5|"May"|"None"|""|"None"|""||||||||||24232247|253292662
6|"June"|"None"|""|"None"|""||||||||||24232247|253292668
7|"July"|"None"|""|"None"|""||||||||||24232247|253292665
8|"August"|"None"|""|"None"|""||||||||||24232247|253292670
9|"September"|"None"|""|"None"|""||||||||||24232247|253292663
10|"October"|"None"|""|"None"|""||||||||||24232247|253292673
11|"November"|"None"|""|"None"|""||||||||||24232247|253292669
12|"December"|"None"|""|"None"|""||||||||||24232247|253292664
1|"January"|"None"|""|"None"|""||||||||||24232248|253292678
2|"February"|"None"|""|"None"|""||||||||||24232248|253292683
3|"March"|"None"|""|"None"|""||||||||||24232248|253292679
4|"April"|"None"|""|"None"|""||||||||||24232248|253292684
5|"May"|"None"|""|"None"|""||||||||||24232248|253292685
6|"June"|"None"|""|"None"|""||||||||||24232248|253292676
7|"July"|"None"|""|"None"|""||||||||||24232248|253292674
8|"August"|"None"|""|"None"|""||||||||||24232248|253292677
9|"September"|"None"|""|"None"|""||||||||||24232248|253292682
10|"October"|"None"|""|"None"|""||||||||||24232248|253292680
11|"November"|"None"|""|"None"|""||||||||||24232248|253292675
12|"December"|"None"|""|"None"|""||||||||||24232248|253292681
1|"January"|"None"|""|"None"|""||||||||||24232249|253292689
2|"February"|"None"|""|"None"|""||||||||||24232249|253292686
3|"March"|"None"|""|"None"|""||||||||||24232249|253292691
4|"April"|"None"|""|"None"|""||||||||||24232249|253292696
5|"May"|"None"|""|"None"|""||||||||||24232249|253292695
6|"June"|"None"|""|"None"|""||||||||||24232249|253292687
7|"July"|"None"|""|"None"|""||||||||||24232249|253292693
8|"August"|"None"|""|"None"|""||||||||||24232249|253292688
9|"September"|"None"|""|"None"|""||||||||||24232249|253292692
10|"October"|"None"|""|"None"|""||||||||||24232249|253292690
11|"November"|"None"|""|"None"|""||||||||||24232249|253292697
12|"December"|"None"|""|"None"|""||||||||||24232249|253292694
1|"January"|"None"|""|"None"|""||||||||||24232250|253292699
2|"February"|"None"|""|"None"|""||||||||||24232250|253292708
3|"March"|"None"|""|"None"|""||||||||||24232250|253292698
4|"April"|"None"|""|"None"|""||||||||||24232250|253292707
5|"May"|"None"|""|"None"|""||||||||||24232250|253292704
6|"June"|"None"|""|"None"|""||||||||||24232250|253292705
7|"July"|"None"|""|"None"|""||||||||||24232250|253292703
8|"August"|"None"|""|"None"|""||||||||||24232250|253292709
9|"September"|"None"|""|"None"|""||||||||||24232250|253292702
10|"October"|"None"|""|"None"|""||||||||||24232250|253292701
11|"November"|"None"|""|"None"|""||||||||||24232250|253292706
12|"December"|"None"|""|"None"|""||||||||||24232250|253292700
1|"January"|"None"|""|"None"|""||||||||||24232251|253292720
2|"February"|"None"|""|"None"|""||||||||||24232251|253292713
3|"March"|"None"|""|"None"|""||||||||||24232251|253292721
4|"April"|"None"|""|"None"|""||||||||||24232251|253292714
5|"May"|"None"|""|"None"|""||||||||||24232251|253292715
6|"June"|"None"|""|"None"|""||||||||||24232251|253292718
7|"July"|"None"|""|"None"|""||||||||||24232251|253292716
8|"August"|"None"|""|"None"|""||||||||||24232251|253292719
9|"September"|"None"|""|"None"|""||||||||||24232251|253292712
10|"October"|"None"|""|"None"|""||||||||||24232251|253292710
11|"November"|"None"|""|"None"|""||||||||||24232251|253292717
12|"December"|"None"|""|"None"|""||||||||||24232251|253292711
1|"January"|"None"|""|"None"|""||||||||||24232252|253292731
2|"February"|"None"|""|"None"|""||||||||||24232252|253292728
3|"March"|"None"|""|"None"|""||||||||||24232252|253292733
4|"April"|"None"|""|"None"|""||||||||||24232252|253292726
5|"May"|"None"|""|"None"|""||||||||||24232252|253292725
6|"June"|"None"|""|"None"|""||||||||||24232252|253292729
7|"July"|"None"|""|"None"|""||||||||||24232252|253292723
8|"August"|"None"|""|"None"|""||||||||||24232252|253292730
9|"September"|"None"|""|"None"|""||||||||||24232252|253292722
10|"October"|"None"|""|"None"|""||||||||||24232252|253292732
11|"November"|"None"|""|"None"|""||||||||||24232252|253292727
12|"December"|"None"|""|"None"|""||||||||||24232252|253292724
1|"January"|"None"|""|"None"|""||||||||||24232369|253294132
2|"February"|"None"|""|"None"|""||||||||||24232369|253294129
4|"April"|"None"|""|"None"|""||||||||||24232369|253294126
3|"March"|"None"|""|"None"|""||||||||||24232369|253294131
5|"May"|"None"|""|"None"|""||||||||||24232369|253294134
6|"June"|"None"|""|"None"|""||||||||||24232369|253294133
8|"August"|"None"|""|"None"|""||||||||||24232369|253294127
7|"July"|"None"|""|"None"|""||||||||||24232369|253294130
9|"September"|"None"|""|"None"|""||||||||||24232369|253294137
10|"October"|"None"|""|"None"|""||||||||||24232369|253294136
11|"November"|"None"|""|"None"|""||||||||||24232369|253294135
12|"December"|"None"|""|"None"|""||||||||||24232369|253294128
1|"January"|"None"|""|"None"|""||||||||||24232370|253294147
2|"February"|"None"|""|"None"|""||||||||||24232370|253294145
4|"April"|"None"|""|"None"|""||||||||||24232370|253294138
3|"March"|"None"|""|"None"|""||||||||||24232370|253294142
5|"May"|"None"|""|"None"|""||||||||||24232370|253294143
6|"June"|"None"|""|"None"|""||||||||||24232370|253294141
7|"July"|"None"|""|"None"|""||||||||||24232370|253294140
8|"August"|"None"|""|"None"|""||||||||||24232370|253294144
9|"September"|"None"|""|"None"|""||||||||||24232370|253294149
10|"October"|"None"|""|"None"|""||||||||||24232370|253294146
11|"November"|"None"|""|"None"|""||||||||||24232370|253294148
12|"December"|"None"|""|"None"|""||||||||||24232370|253294139
1|"January"|"None"|""|"None"|""||||||||||24232371|253294150
2|"February"|"None"|""|"None"|""||||||||||24232371|253294160
4|"April"|"None"|""|"None"|""||||||||||24232371|253294155
3|"March"|"None"|""|"None"|""||||||||||24232371|253294153
5|"May"|"None"|""|"None"|""||||||||||24232371|253294154
6|"June"|"None"|""|"None"|""||||||||||24232371|253294152
7|"July"|"None"|""|"None"|""||||||||||24232371|253294151
8|"August"|"None"|""|"None"|""||||||||||24232371|253294159
9|"September"|"None"|""|"None"|""||||||||||24232371|253294158
10|"October"|"None"|""|"None"|""||||||||||24232371|253294161
11|"November"|"None"|""|"None"|""||||||||||24232371|253294157
12|"December"|"None"|""|"None"|""||||||||||24232371|253294156
1|"January"|"None"|""|"None"|""||||||||||24232372|253294163
2|"February"|"None"|""|"None"|""||||||||||24232372|253294162
4|"April"|"None"|""|"None"|""||||||||||24232372|253294167
3|"March"|"None"|""|"None"|""||||||||||24232372|253294166
5|"May"|"None"|""|"None"|""||||||||||24232372|253294172
6|"June"|"None"|""|"None"|""||||||||||24232372|253294165
7|"July"|"None"|""|"None"|""||||||||||24232372|253294164
8|"August"|"None"|""|"None"|""||||||||||24232372|253294171
9|"September"|"None"|""|"None"|""||||||||||24232372|253294170
10|"October"|"None"|""|"None"|""||||||||||24232372|253294173
11|"November"|"None"|""|"None"|""||||||||||24232372|253294169
12|"December"|"None"|""|"None"|""||||||||||24232372|253294168
1|"January"|"None"|""|"None"|""||||||||||24232092|253290806
2|"February"|"None"|""|"None"|""||||||||||24232092|253290804
3|"March"|"None"|""|"None"|""||||||||||24232092|253290805
4|"April"|"None"|""|"None"|""||||||||||24232092|253290813
5|"May"|"None"|""|"None"|""||||||||||24232092|253290812
6|"June"|"None"|""|"None"|""||||||||||24232092|253290803
7|"July"|"None"|""|"None"|""||||||||||24232092|253290810
8|"August"|"None"|""|"None"|""||||||||||24232092|253290808
9|"September"|"None"|""|"None"|""||||||||||24232092|253290809
10|"October"|"None"|""|"None"|""||||||||||24232092|253290807
11|"November"|"None"|""|"None"|""||||||||||24232092|253290802
12|"December"|"None"|""|"None"|""||||||||||24232092|253290811
1|"January"|"None"|""|"None"|""||||||||||24232093|253290825
2|"February"|"None"|""|"None"|""||||||||||24232093|253290819
3|"March"|"None"|""|"None"|""||||||||||24232093|253290823
4|"April"|"None"|""|"None"|""||||||||||24232093|253290818
5|"May"|"None"|""|"None"|""||||||||||24232093|253290816
6|"June"|"None"|""|"None"|""||||||||||24232093|253290821
7|"July"|"None"|""|"None"|""||||||||||24232093|253290817
8|"August"|"None"|""|"None"|""||||||||||24232093|253290822
9|"September"|"None"|""|"None"|""||||||||||24232093|253290815
10|"October"|"None"|""|"None"|""||||||||||24232093|253290824
11|"November"|"None"|""|"None"|""||||||||||24232093|253290820
12|"December"|"None"|""|"None"|""||||||||||24232093|253290814
1|"January"|"None"|""|"None"|""||||||||||24232094|253290829
2|"February"|"None"|""|"None"|""||||||||||24232094|253290837
3|"March"|"None"|""|"None"|""||||||||||24232094|253290830
4|"April"|"None"|""|"None"|""||||||||||24232094|253290832
5|"May"|"None"|""|"None"|""||||||||||24232094|253290835
6|"June"|"None"|""|"None"|""||||||||||24232094|253290827
7|"July"|"None"|""|"None"|""||||||||||24232094|253290834
8|"August"|"None"|""|"None"|""||||||||||24232094|253290828
9|"September"|"None"|""|"None"|""||||||||||24232094|253290833
10|"October"|"None"|""|"None"|""||||||||||24232094|253290831
11|"November"|"None"|""|"None"|""||||||||||24232094|253290826
12|"December"|"None"|""|"None"|""||||||||||24232094|253290836
1|"January"|"None"|""|"None"|""||||||||||24232193|253292018
2|"February"|"None"|""|"None"|""||||||||||24232193|253292017
3|"March"|"None"|""|"None"|""||||||||||24232193|253292021
4|"April"|"None"|""|"None"|""||||||||||24232193|253292014
5|"May"|"None"|""|"None"|""||||||||||24232193|253292022
6|"June"|"None"|""|"None"|""||||||||||24232193|253292020
7|"July"|"None"|""|"None"|""||||||||||24232193|253292019
8|"August"|"None"|""|"None"|""||||||||||24232193|253292015
9|"September"|"None"|""|"None"|""||||||||||24232193|253292025
10|"October"|"None"|""|"None"|""||||||||||24232193|253292024
11|"November"|"None"|""|"None"|""||||||||||24232193|253292023
12|"December"|"None"|""|"None"|""||||||||||24232193|253292016
1|"January"|"None"|""|"None"|""||||||||||24232194|253292030
2|"February"|"None"|""|"None"|""||||||||||24232194|253292029
3|"March"|"None"|""|"None"|""||||||||||24232194|253292033
