"texture"|"stratextsflag"|"rvindicator"|"texdesc"|"chkey"|"chtgkey"
"CL"|"No "|"No "|"Clay loam"|72051973|145700314
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051971|145700309
"CL"|"No "|"No "|"Clay loam"|72051971|145700310
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051972|145700311
"SCL"|"No "|"No "|"Sandy clay loam"|72051974|145700315
"C"|"No "|"Yes"|"Clay"|72051974|145700316
"CL"|"No "|"No "|"Clay loam"|72051974|145700317
"SC"|"No "|"No "|"Sandy clay"|72051974|145700318
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051970|145700308
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051975|145700319
"CL"|"No "|"No "|"Clay loam"|72051975|145700320
"SC"|"No "|"No "|"Sandy clay"|72051975|145700321
"C"|"No "|"No "|"Clay"|72051975|145700322
"L"|"No "|"Yes"|"Loam"|72052018|145700426
"SC"|"No "|"No "|"Sandy clay"|72052019|145700427
"C"|"No "|"No "|"Clay"|72052019|145700428
"CL"|"No "|"Yes"|"Clay loam"|72052019|145700429
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052017|145700425
"FS"|"No "|"Yes"|"Fine sand"|72051854|145700058
"FS"|"No "|"Yes"|"Fine sand"|72051853|145700057
"FS"|"No "|"Yes"|"Fine sand"|72051855|145700059
"L"|"No "|"Yes"|"Loam"|72052102|145700589
"FSL"|"No "|"No "|"Fine sandy loam"|72052102|145700590
"SCL"|"No "|"No "|"Sandy clay loam"|72052102|145700591
"L"|"No "|"Yes"|"Loam"|72052101|145700586
"SCL"|"No "|"No "|"Sandy clay loam"|72052101|145700587
"FSL"|"No "|"No "|"Fine sandy loam"|72052101|145700588
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052100|145700585
"FSL"|"No "|"No "|"Fine sandy loam"|72051684|145699722
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051684|145699723
"L"|"No "|"Yes"|"Loam"|72051684|145699724
"CL"|"No "|"No "|"Clay loam"|72051685|145699725
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051685|145699726
"L"|"No "|"No "|"Loam"|72051685|145699727
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72051683|145699721
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051682|145699719
"L"|"No "|"No "|"Loam"|72051682|145699720
"L"|"No "|"Yes"|"Loam"|72051681|145699718
"SIC"|"No "|"No "|"Silty clay"|72051964|145700296
"C"|"No "|"Yes"|"Clay"|72051964|145700297
"SIC"|"No "|"No "|"Silty clay"|72051963|145700294
"C"|"No "|"Yes"|"Clay"|72051963|145700295
"SIC"|"No "|"No "|"Silty clay"|72051962|145700292
"C"|"No "|"Yes"|"Clay"|72051962|145700293
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051960|145700288
"SICL"|"No "|"No "|"Silty clay loam"|72051960|145700289
"CL"|"No "|"No "|"Clay loam"|72051960|145700290
"C"|"No "|"Yes"|"Clay"|72051961|145700291
"L"|"No "|"Yes"|"Loam"|72051977|145700324
"SICL"|"No "|"No "|"Silty clay loam"|72051977|145700325
"CL"|"No "|"No "|"Clay loam"|72051977|145700326
"L"|"No "|"Yes"|"Loam"|72051976|145700323
"C"|"No "|"No "|"Clay"|72051978|145700327
"CL"|"No "|"No "|"Clay loam"|72051978|145700328
"SIC"|"No "|"Yes"|"Silty clay"|72051978|145700329
"SICL"|"No "|"No "|"Silty clay loam"|72051679|145699712
"CL"|"No "|"No "|"Clay loam"|72051679|145699713
"C"|"No "|"Yes"|"Clay"|72051679|145699714
"L"|"No "|"No "|"Loam"|72051680|145699715
"C"|"No "|"Yes"|"Clay"|72051680|145699716
"CL"|"No "|"No "|"Clay loam"|72051680|145699717
"SIL"|"No "|"Yes"|"Silt loam"|72051677|145699709
"CL"|"No "|"Yes"|"Clay loam"|72051678|145699710
"SICL"|"No "|"No "|"Silty clay loam"|72051678|145699711
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052149|145700681
"FSL"|"No "|"No "|"Fine sandy loam"|72052149|145700682
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052150|145700683
"FS"|"No "|"No "|"Fine sand"|72052150|145700684
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052151|145700685
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052068|145700527
"FSL"|"No "|"No "|"Fine sandy loam"|72052068|145700528
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052069|145700529
"LFS"|"No "|"Yes"|"Loamy fine sand"|72052067|145700525
"FS"|"No "|"No "|"Fine sand"|72052067|145700526
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051491|145699315
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051492|145699316
"C"|"No "|"Yes"|"Clay"|72051489|145699308
"SCL"|"No "|"No "|"Sandy clay loam"|72051489|145699309
"SC"|"No "|"No "|"Sandy clay"|72051489|145699310
"CL"|"No "|"No "|"Clay loam"|72051489|145699311
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72051488|145699307
"GR-FSL"|"No "|"Yes"|"Gravelly fine sandy loam"|72051487|145699306
"CL"|"No "|"Yes"|"Clay loam"|72051490|145699312
"FSL"|"No "|"No "|"Fine sandy loam"|72051490|145699313
"SCL"|"No "|"No "|"Sandy clay loam"|72051490|145699314
"ST-FSL"|"No "|"Yes"|"Stony fine sandy loam"|72051676|145699708
"C"|"No "|"Yes"|"Clay"|72051674|145699705
"SCL"|"No "|"No "|"Sandy clay loam"|72051674|145699706
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051675|145699707
"C"|"No "|"Yes"|"Clay"|72051718|145699793
"SCL"|"No "|"No "|"Sandy clay loam"|72051718|145699794
"CL"|"No "|"No "|"Clay loam"|72051718|145699795
"SC"|"No "|"No "|"Sandy clay"|72051718|145699796
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051717|145699792
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051719|145699797
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051885|145700140
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051885|145700141
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051883|145700134
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051883|145700135
"C"|"No "|"Yes"|"Clay"|72051886|145700142
"SC"|"No "|"No "|"Sandy clay"|72051886|145700143
"CL"|"No "|"No "|"Clay loam"|72051886|145700144
"SCL"|"No "|"No "|"Sandy clay loam"|72051886|145700145
"C"|"No "|"Yes"|"Clay"|72051884|145700136
"SCL"|"No "|"No "|"Sandy clay loam"|72051884|145700137
"SC"|"No "|"No "|"Sandy clay"|72051884|145700138
"CL"|"No "|"No "|"Clay loam"|72051884|145700139
"SC"|"No "|"No "|"Sandy clay"|72051896|145700168
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051896|145700169
"CL"|"No "|"No "|"Clay loam"|72051896|145700170
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051891|145700156
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051895|145700165
"FSL"|"No "|"No "|"Fine sandy loam"|72051895|145700166
"CL"|"No "|"No "|"Clay loam"|72051895|145700167
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051894|145700162
"CL"|"No "|"No "|"Clay loam"|72051894|145700163
"FSL"|"No "|"No "|"Fine sandy loam"|72051894|145700164
"FSL"|"No "|"No "|"Fine sandy loam"|72051893|145700159
"CL"|"No "|"No "|"Clay loam"|72051893|145700160
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051893|145700161
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051892|145700157
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051892|145700158
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051543|145699435
"FS"|"No "|"No "|"Fine sand"|72051543|145699436
"FSL"|"No "|"No "|"Fine sandy loam"|72051543|145699437
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051541|145699432
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051542|145699433
"FS"|"No "|"No "|"Fine sand"|72051542|145699434
"FS"|"No "|"No "|"Fine sand"|72051557|145699462
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051557|145699463
"FSL"|"No "|"No "|"Fine sandy loam"|72051557|145699464
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051555|145699458
"FS"|"No "|"No "|"Fine sand"|72051555|145699459
"FS"|"No "|"No "|"Fine sand"|72051556|145699460
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051556|145699461
"FSL"|"No "|"No "|"Fine sandy loam"|72052014|145700416
"L"|"No "|"No "|"Loam"|72052014|145700417
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052014|145700418
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052013|145700415
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052016|145700422
"FSL"|"No "|"No "|"Fine sandy loam"|72052016|145700423
"L"|"No "|"No "|"Loam"|72052016|145700424
"L"|"No "|"No "|"Loam"|72052015|145700419
"CL"|"No "|"No "|"Clay loam"|72052015|145700420
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052015|145700421
"L"|"No "|"No "|"Loam"|72051540|145699429
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051540|145699430
"FSL"|"No "|"No "|"Fine sandy loam"|72051540|145699431
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051539|145699426
"CL"|"No "|"No "|"Clay loam"|72051539|145699427
"L"|"No "|"No "|"Loam"|72051539|145699428
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72051537|145699422
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72051538|145699423
"L"|"No "|"No "|"Loam"|72051538|145699424
"FSL"|"No "|"No "|"Fine sandy loam"|72051538|145699425
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051856|145700060
"FSL"|"No "|"No "|"Fine sandy loam"|72051857|145700061
"L"|"No "|"No "|"Loam"|72051857|145700062
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051857|145700063
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051477|145699283
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051476|145699280
"FSL"|"No "|"No "|"Fine sandy loam"|72051476|145699281
"L"|"No "|"No "|"Loam"|72051476|145699282
"CL"|"No "|"No "|"Clay loam"|72052057|145700504
"SCL"|"No "|"No "|"Sandy clay loam"|72052057|145700505
"C"|"No "|"Yes"|"Clay"|72052057|145700506
"C"|"No "|"Yes"|"Clay"|72052063|145700517
"SIC"|"No "|"No "|"Silty clay"|72052063|145700518
"CL"|"No "|"Yes"|"Clay loam"|72052064|145700519
"C"|"No "|"No "|"Clay"|72052064|145700520
"CL"|"No "|"Yes"|"Clay loam"|72052066|145700523
"C"|"No "|"No "|"Clay"|72052066|145700524
"SCL"|"No "|"No "|"Sandy clay loam"|72052061|145700511
"L"|"No "|"No "|"Loam"|72052061|145700512
"CL"|"No "|"Yes"|"Clay loam"|72052061|145700513
"SCL"|"No "|"No "|"Sandy clay loam"|72052062|145700514
"L"|"No "|"No "|"Loam"|72052062|145700515
"CL"|"No "|"Yes"|"Clay loam"|72052062|145700516
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052060|145700510
"VFSL"|"No "|"No "|"Very fine sandy loam"|72052065|145700521
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052065|145700522
"SIC"|"No "|"No "|"Silty clay"|72051877|145700123
"C"|"No "|"Yes"|"Clay"|72051877|145700124
"L"|"No "|"No "|"Loam"|72051876|145700120
"SICL"|"No "|"No "|"Silty clay loam"|72051876|145700121
"CL"|"No "|"Yes"|"Clay loam"|72051876|145700122
"L"|"No "|"Yes"|"Loam"|72051878|145700125
"CL"|"No "|"Yes"|"Clay loam"|72051875|145700119
"CL"|"No "|"No "|"Clay loam"|72051881|145700128
"FSL"|"No "|"No "|"Fine sandy loam"|72051881|145700129
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051881|145700130
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051880|145700127
"LFS"|"No "|"Yes"|"Loamy fine sand"|72051879|145700126
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051882|145700131
"CL"|"No "|"No "|"Clay loam"|72051882|145700132
"FSL"|"No "|"No "|"Fine sandy loam"|72051882|145700133
"CL"|"No "|"Yes"|"Clay loam"|72051832|145700014
"C"|"No "|"No "|"Clay"|72051832|145700015
"CL"|"No "|"Yes"|"Clay loam"|72051827|145700002
"SCL"|"No "|"No "|"Sandy clay loam"|72051827|145700003
"L"|"No "|"No "|"Loam"|72051827|145700004
"C"|"No "|"Yes"|"Clay"|72051829|145700008
"SIC"|"No "|"No "|"Silty clay"|72051829|145700009
"C"|"No "|"No "|"Clay"|72051830|145700010
"CL"|"No "|"Yes"|"Clay loam"|72051830|145700011
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051826|145700001
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051831|145700012
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051831|145700013
"CL"|"No "|"Yes"|"Clay loam"|72051828|145700005
"SCL"|"No "|"No "|"Sandy clay loam"|72051828|145700006
"L"|"No "|"No "|"Loam"|72051828|145700007
"L"|"No "|"Yes"|"Loam"|72051834|145700019
"FSL"|"No "|"No "|"Fine sandy loam"|72051834|145700020
"SCL"|"No "|"No "|"Sandy clay loam"|72051834|145700021
"CL"|"No "|"No "|"Clay loam"|72051834|145700022
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051836|145700024
"L"|"No "|"No "|"Loam"|72051836|145700025
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051836|145700026
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051833|145700016
"L"|"No "|"No "|"Loam"|72051833|145700017
"CL"|"No "|"No "|"Clay loam"|72051833|145700018
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051835|145700023
"SCL"|"No "|"Yes"|"Sandy clay loam"|72051837|145700027
"FSL"|"No "|"No "|"Fine sandy loam"|72051837|145700028
"SL"|"No "|"No "|"Sandy loam"|72051837|145700029
"C"|"No "|"Yes"|"Clay"|72051838|145700030
"CL"|"No "|"No "|"Clay loam"|72051838|145700031
"SC"|"No "|"No "|"Sandy clay"|72051838|145700032
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051839|145700033
"CL"|"No "|"Yes"|"Clay loam"|72052215|145700816
"SICL"|"No "|"No "|"Silty clay loam"|72052215|145700817
"L"|"No "|"No "|"Loam"|72052215|145700818
"C"|"No "|"Yes"|"Clay"|72052216|145700819
"SIC"|"No "|"No "|"Silty clay"|72052216|145700820
"FSL"|"No "|"No "|"Fine sandy loam"|72052213|145700812
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052213|145700813
"SR- FSL SICL"|"Yes"|"No "|"Stratified fine sandy loam to silty clay loam"|72052214|145700814
"CL"|"No "|"Yes"|"Clay loam"|72052214|145700815
"CL"|"No "|"Yes"|"Clay loam"|72052223|145700834
"C"|"No "|"No "|"Clay"|72052223|145700835
"CL"|"No "|"Yes"|"Clay loam"|72052219|145700824
"SCL"|"No "|"No "|"Sandy clay loam"|72052219|145700825
"L"|"No "|"No "|"Loam"|72052219|145700826
"CL"|"No "|"Yes"|"Clay loam"|72052222|145700832
"C"|"No "|"No "|"Clay"|72052222|145700833
"SIC"|"No "|"No "|"Silty clay"|72052221|145700830
"C"|"No "|"Yes"|"Clay"|72052221|145700831
"CL"|"No "|"Yes"|"Clay loam"|72052220|145700827
"SCL"|"No "|"No "|"Sandy clay loam"|72052220|145700828
"L"|"No "|"No "|"Loam"|72052220|145700829
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052217|145700821
"VFSL"|"No "|"No "|"Very fine sandy loam"|72052218|145700822
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052218|145700823
"SICL"|"No "|"No "|"Silty clay loam"|72051688|145699730
"CL"|"No "|"Yes"|"Clay loam"|72051688|145699731
"SIC"|"No "|"No "|"Silty clay"|72051690|145699735
"C"|"No "|"Yes"|"Clay"|72051690|145699736
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72051686|145699728
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72051687|145699729
"SCL"|"No "|"No "|"Sandy clay loam"|72051689|145699732
"C"|"No "|"No "|"Clay"|72051689|145699733
"CL"|"No "|"Yes"|"Clay loam"|72051689|145699734
"CL"|"No "|"Yes"|"Clay loam"|72051850|145700051
"C"|"No "|"No "|"Clay"|72051850|145700052
"CL"|"No "|"Yes"|"Clay loam"|72051848|145700045
"SCL"|"No "|"No "|"Sandy clay loam"|72051848|145700046
"L"|"No "|"No "|"Loam"|72051848|145700047
"CL"|"Yes"|"Yes"|"Clay loam"|72051852|145700055
"C"|"No "|"No "|"Clay"|72051852|145700056
"SIC"|"No "|"No "|"Silty clay"|72051851|145700053
"C"|"No "|"Yes"|"Clay"|72051851|145700054
"CL"|"No "|"Yes"|"Clay loam"|72051849|145700048
"L"|"No "|"No "|"Loam"|72051849|145700049
"SCL"|"No "|"No "|"Sandy clay loam"|72051849|145700050
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051847|145700043
"VFSL"|"No "|"No "|"Very fine sandy loam"|72051847|145700044
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051846|145700042
"SCL"|"No "|"No "|"Sandy clay loam"|72052227|145700841
"CL"|"No "|"Yes"|"Clay loam"|72052227|145700842
"L"|"No "|"No "|"Loam"|72052227|145700843
"L"|"No "|"Yes"|"Loam"|72052224|145700836
"L"|"No "|"Yes"|"Loam"|72052225|145700837
"C"|"No "|"Yes"|"Clay"|72052228|145700844
"CL"|"No "|"No "|"Clay loam"|72052228|145700845
"SCL"|"No "|"No "|"Sandy clay loam"|72052226|145700838
"CL"|"No "|"No "|"Clay loam"|72052226|145700839
"L"|"No "|"Yes"|"Loam"|72052226|145700840
"SIL"|"No "|"Yes"|"Silt loam"|72052230|145700847
"C"|"No "|"Yes"|"Clay"|72052233|145700854
"SIC"|"No "|"No "|"Silty clay"|72052233|145700855
"CL"|"No "|"No "|"Clay loam"|72052233|145700856
"SIL"|"No "|"Yes"|"Silt loam"|72052229|145700846
"SIL"|"No "|"No "|"Silt loam"|72052232|145700851
"SICL"|"No "|"Yes"|"Silty clay loam"|72052232|145700852
"CL"|"No "|"No "|"Clay loam"|72052232|145700853
"SICL"|"No "|"No "|"Silty clay loam"|72052231|145700848
"CL"|"No "|"Yes"|"Clay loam"|72052231|145700849
"SIL"|"No "|"No "|"Silt loam"|72052231|145700850
"VFSL"|"No "|"No "|"Very fine sandy loam"|72052234|145700857
"L"|"No "|"Yes"|"Loam"|72052234|145700858
"FSL"|"No "|"No "|"Fine sandy loam"|72052234|145700859
"L"|"No "|"Yes"|"Loam"|72052235|145700860
"L"|"No "|"No "|"Loam"|72052237|145700864
"SCL"|"No "|"No "|"Sandy clay loam"|72052237|145700865
"CL"|"No "|"Yes"|"Clay loam"|72052237|145700866
"C"|"No "|"Yes"|"Clay"|72052238|145700867
"CL"|"No "|"No "|"Clay loam"|72052238|145700868
"CL"|"No "|"Yes"|"Clay loam"|72052236|145700861
"L"|"No "|"No "|"Loam"|72052236|145700862
"SCL"|"No "|"No "|"Sandy clay loam"|72052236|145700863
"SCL"|"No "|"No "|"Sandy clay loam"|72052165|145700711
"CL"|"No "|"No "|"Clay loam"|72052165|145700712
"L"|"No "|"Yes"|"Loam"|72052165|145700713
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052163|145700707
"C"|"No "|"Yes"|"Clay"|72052167|145700717
"SIC"|"No "|"No "|"Silty clay"|72052167|145700718
"C"|"No "|"Yes"|"Clay"|72052166|145700714
"CL"|"No "|"No "|"Clay loam"|72052166|145700715
"SCL"|"No "|"No "|"Sandy clay loam"|72052166|145700716
"L"|"No "|"Yes"|"Loam"|72052164|145700708
"SCL"|"No "|"No "|"Sandy clay loam"|72052164|145700709
"CL"|"No "|"No "|"Clay loam"|72052164|145700710
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052162|145700706
"C"|"No "|"No "|"Clay"|72052171|145700723
"SCL"|"No "|"No "|"Sandy clay loam"|72052171|145700724
"CL"|"No "|"Yes"|"Clay loam"|72052171|145700725
"SICL"|"No "|"No "|"Silty clay loam"|72052170|145700721
"CL"|"No "|"Yes"|"Clay loam"|72052170|145700722
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052169|145700720
"SIC"|"No "|"No "|"Silty clay"|72052172|145700726
"C"|"No "|"Yes"|"Clay"|72052172|145700727
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052168|145700719
"SIL"|"No "|"Yes"|"Silt loam"|72052174|145700729
"SIL"|"No "|"Yes"|"Silt loam"|72052173|145700728
"SIL"|"No "|"No "|"Silt loam"|72052175|145700730
"SICL"|"No "|"No "|"Silty clay loam"|72052175|145700731
"CL"|"No "|"Yes"|"Clay loam"|72052175|145700732
"CL"|"No "|"No "|"Clay loam"|72052177|145700736
"C"|"No "|"Yes"|"Clay"|72052177|145700737
"SIC"|"No "|"No "|"Silty clay"|72052177|145700738
"CL"|"No "|"No "|"Clay loam"|72052176|145700733
"SIL"|"No "|"No "|"Silt loam"|72052176|145700734
"SICL"|"No "|"Yes"|"Silty clay loam"|72052176|145700735
"CL"|"No "|"Yes"|"Clay loam"|72052181|145700745
"SCL"|"No "|"No "|"Sandy clay loam"|72052181|145700746
"L"|"No "|"No "|"Loam"|72052181|145700747
"VFSL"|"No "|"No "|"Very fine sandy loam"|72052179|145700740
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052179|145700741
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052178|145700739
"C"|"No "|"No "|"Clay"|72052183|145700750
"SR- CL VFSL"|"Yes"|"Yes"|"Stratified clay loam to very fine sandy loam"|72052183|145700751
"L"|"No "|"No "|"Loam"|72052180|145700742
"CL"|"No "|"Yes"|"Clay loam"|72052180|145700743
"SCL"|"No "|"No "|"Sandy clay loam"|72052180|145700744
"CL"|"No "|"Yes"|"Clay loam"|72052184|145700752
"C"|"No "|"No "|"Clay"|72052184|145700753
"SIC"|"No "|"No "|"Silty clay"|72052182|145700748
"C"|"No "|"Yes"|"Clay"|72052182|145700749
"SCL"|"No "|"No "|"Sandy clay loam"|72052199|145700782
"L"|"No "|"Yes"|"Loam"|72052199|145700783
"CL"|"No "|"No "|"Clay loam"|72052199|145700784
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052197|145700778
"C"|"No "|"Yes"|"Clay"|72052201|145700788
"SIC"|"No "|"No "|"Silty clay"|72052201|145700789
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052196|145700777
"L"|"No "|"Yes"|"Loam"|72052198|145700779
"SCL"|"No "|"No "|"Sandy clay loam"|72052198|145700780
"CL"|"No "|"No "|"Clay loam"|72052198|145700781
"SCL"|"No "|"No "|"Sandy clay loam"|72052200|145700785
"C"|"No "|"Yes"|"Clay"|72052200|145700786
"CL"|"No "|"No "|"Clay loam"|72052200|145700787
"SCL"|"No "|"No "|"Sandy clay loam"|72052205|145700794
"CL"|"No "|"Yes"|"Clay loam"|72052205|145700795
"C"|"No "|"No "|"Clay"|72052205|145700796
"SICL"|"No "|"No "|"Silty clay loam"|72052204|145700792
"CL"|"No "|"Yes"|"Clay loam"|72052204|145700793
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052202|145700790
"SIC"|"No "|"No "|"Silty clay"|72052206|145700797
"C"|"No "|"Yes"|"Clay"|72052206|145700798
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|72052203|145700791
"SIL"|"No "|"Yes"|"Silt loam"|72052208|145700800
"SIL"|"No "|"Yes"|"Silt loam"|72052207|145700799
"SIL"|"No "|"No "|"Silt loam"|72052209|145700801
"SICL"|"No "|"No "|"Silty clay loam"|72052209|145700802
"CL"|"No "|"Yes"|"Clay loam"|72052209|145700803
"SIC"|"No "|"No "|"Silty clay"|72052212|145700809
"C"|"No "|"No "|"Clay"|72052212|145700810
"CL"|"No "|"Yes"|"Clay loam"|72052212|145700811
"CL"|"No "|"No "|"Clay loam"|72052210|145700804
"SICL"|"No "|"No "|"Silty clay loam"|72052210|145700805
"SIL"|"No "|"Yes"|"Silt loam"|72052210|145700806
"SICL"|"No "|"Yes"|"Silty clay loam"|72052211|145700807
"CL"|"No "|"No "|"Clay loam"|72052211|145700808
"C"|"No "|"No "|"Clay"|72052144|145700666
"SC"|"No "|"No "|"Sandy clay"|72052144|145700667
"CL"|"No "|"No "|"Clay loam"|72052144|145700668
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052144|145700669
"SCL"|"No "|"No "|"Sandy clay loam"|72052142|145700662
"FSL"|"No "|"No "|"Fine sandy loam"|72052142|145700663
"SL"|"No "|"Yes"|"Sandy loam"|72052142|145700664
"FSL"|"No "|"No "|"Fine sandy loam"|72052141|145700660
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052141|145700661
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052143|145700665
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052140|145700658
"LFS"|"No "|"No "|"Loamy fine sand"|72052140|145700659
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052139|145700657
"L"|"No "|"No "|"Loam"|72052145|145700670
"SCL"|"No "|"Yes"|"Sandy clay loam"|72052145|145700671
"CL"|"No "|"No "|"Clay loam"|72052145|145700672
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052147|145700677
"FSL"|"No "|"Yes"|"Fine sandy loam"|72052148|145700678
"VFSL"|"No "|"No "|"Very fine sandy loam"|72052148|145700679
"L"|"No "|"No "|"Loam"|72052148|145700680
"SCL"|"No "|"No "|"Sandy clay loam"|72052146|145700673
"CL"|"No "|"No "|"Clay loam"|72052146|145700674
"FSL"|"No "|"No "|"Fine sandy loam"|72052146|145700675
"L"|"No "|"Yes"|"Loam"|72052146|145700676
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051657|145699665
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051658|145699666
"L"|"No "|"No "|"Loam"|72051658|145699667
"SL"|"No "|"No "|"Sandy loam"|72051658|145699668
"FSL"|"No "|"Yes"|"Fine sandy loam"|72051659|145699669
"L"|"No "|"No "|"Loam"|72051659|145699670
"SL"|"No "|"No "|"Sandy loam"|72051659|145699671
